MessyName_Header	TidierName_Header
activity	activity
subject	subject
AVGtBodyAcc-mean()-X	AVGtBodyAccMeanX
AVGtBodyAcc-mean()-Y	AVGtBodyAccMeanY
AVGtBodyAcc-mean()-Z	AVGtBodyAccMeanZ
AVGtGravityAcc-mean()-X	AVGtGravityAccMeanX
AVGtGravityAcc-mean()-Y	AVGtGravityAccMeanY
AVGtGravityAcc-mean()-Z	AVGtGravityAccMeanZ
AVGtBodyAccJerk-mean()-X	AVGtBodyAccJerkMeanX
AVGtBodyAccJerk-mean()-Y	AVGtBodyAccJerkMeanY
AVGtBodyAccJerk-mean()-Z	AVGtBodyAccJerkMeanZ
AVGtBodyGyro-mean()-X	AVGtBodyGyroMeanX
AVGtBodyGyro-mean()-Y	AVGtBodyGyroMeanY
AVGtBodyGyro-mean()-Z	AVGtBodyGyroMeanZ
AVGtBodyGyroJerk-mean()-X	AVGtBodyGyroJerkMeanX
AVGtBodyGyroJerk-mean()-Y	AVGtBodyGyroJerkMeanY
AVGtBodyGyroJerk-mean()-Z	AVGtBodyGyroJerkMeanZ
AVGtBodyAccMag-mean()	AVGtBodyAccMagMean
AVGtGravityAccMag-mean()	AVGtGravityAccMagMean
AVGtBodyAccJerkMag-mean()	AVGtBodyAccJerkMagMean
AVGtBodyGyroMag-mean()	AVGtBodyGyroMagMean
AVGtBodyGyroJerkMag-mean()	AVGtBodyGyroJerkMagMean
AVGfBodyAcc-mean()-X	AVGfBodyAccMeanX
AVGfBodyAcc-mean()-Y	AVGfBodyAccMeanY
AVGfBodyAcc-mean()-Z	AVGfBodyAccMeanZ
AVGfBodyAcc-meanFreq()-X	AVGfBodyAccMeanFreqX
AVGfBodyAcc-meanFreq()-Y	AVGfBodyAccMeanFreqY
AVGfBodyAcc-meanFreq()-Z	AVGfBodyAccMeanFreqZ
AVGfBodyAccJerk-mean()-X	AVGfBodyAccJerkMeanX
AVGfBodyAccJerk-mean()-Y	AVGfBodyAccJerkMeanY
AVGfBodyAccJerk-mean()-Z	AVGfBodyAccJerkMeanZ
AVGfBodyAccJerk-meanFreq()-X	AVGfBodyAccJerkMeanFreqX
AVGfBodyAccJerk-meanFreq()-Y	AVGfBodyAccJerkMeanFreqY
AVGfBodyAccJerk-meanFreq()-Z	AVGfBodyAccJerkMeanFreqZ
AVGfBodyGyro-mean()-X	AVGfBodyGyroMeanX
AVGfBodyGyro-mean()-Y	AVGfBodyGyroMeanY
AVGfBodyGyro-mean()-Z	AVGfBodyGyroMeanZ
AVGfBodyGyro-meanFreq()-X	AVGfBodyGyroMeanFreqX
AVGfBodyGyro-meanFreq()-Y	AVGfBodyGyroMeanFreqY
AVGfBodyGyro-meanFreq()-Z	AVGfBodyGyroMeanFreqZ
AVGfBodyAccMag-mean()	AVGfBodyAccMagMean
AVGfBodyAccMag-meanFreq()	AVGfBodyAccMagMeanFreq
AVGfBodyBodyAccJerkMag-mean()	AVGfBodyBodyAccJerkMagMean
AVGfBodyBodyAccJerkMag-meanFreq()	AVGfBodyBodyAccJerkMagMeanFreq
AVGfBodyBodyGyroMag-mean()	AVGfBodyBodyGyroMagMean
AVGfBodyBodyGyroMag-meanFreq()	AVGfBodyBodyGyroMagMeanFreq
AVGfBodyBodyGyroJerkMag-mean()	AVGfBodyBodyGyroJerkMagMean
AVGfBodyBodyGyroJerkMag-meanFreq()	AVGfBodyBodyGyroJerkMagMeanFreq
"AVGangle(tBodyAccMean,gravity)"	AVGangle__tBodyAccMean_gravity__
"AVGangle(tBodyAccJerkMean),gravityMean)"	AVGangle__tBodyAccJerkMean___gravityMean__
"AVGangle(tBodyGyroMean,gravityMean)"	AVGangle__tBodyGyroMean_gravityMean__
"AVGangle(tBodyGyroJerkMean,gravityMean)"	AVGangle__tBodyGyroJerkMean_gravityMean__
"AVGangle(X,gravityMean)"	AVGangle__X_gravityMean__
"AVGangle(Y,gravityMean)"	AVGangle__Y_gravityMean__
"AVGangle(Z,gravityMean)"	AVGangle__Z_gravityMean__
AVGtBodyAcc-std()-X	AVGtBodyAccstdX
AVGtBodyAcc-std()-Y	AVGtBodyAccstdY
AVGtBodyAcc-std()-Z	AVGtBodyAccstdZ
AVGtGravityAcc-std()-X	AVGtGravityAccstdX
AVGtGravityAcc-std()-Y	AVGtGravityAccstdY
AVGtGravityAcc-std()-Z	AVGtGravityAccstdZ
AVGtBodyAccJerk-std()-X	AVGtBodyAccJerkstdX
AVGtBodyAccJerk-std()-Y	AVGtBodyAccJerkstdY
AVGtBodyAccJerk-std()-Z	AVGtBodyAccJerkstdZ
AVGtBodyGyro-std()-X	AVGtBodyGyrostdX
AVGtBodyGyro-std()-Y	AVGtBodyGyrostdY
AVGtBodyGyro-std()-Z	AVGtBodyGyrostdZ
AVGtBodyGyroJerk-std()-X	AVGtBodyGyroJerkstdX
AVGtBodyGyroJerk-std()-Y	AVGtBodyGyroJerkstdY
AVGtBodyGyroJerk-std()-Z	AVGtBodyGyroJerkstdZ
AVGtBodyAccMag-std()	AVGtBodyAccMagstd
AVGtGravityAccMag-std()	AVGtGravityAccMagstd
AVGtBodyAccJerkMag-std()	AVGtBodyAccJerkMagstd
AVGtBodyGyroMag-std()	AVGtBodyGyroMagstd
AVGtBodyGyroJerkMag-std()	AVGtBodyGyroJerkMagstd
AVGfBodyAcc-std()-X	AVGfBodyAccstdX
AVGfBodyAcc-std()-Y	AVGfBodyAccstdY
AVGfBodyAcc-std()-Z	AVGfBodyAccstdZ
AVGfBodyAccJerk-std()-X	AVGfBodyAccJerkstdX
AVGfBodyAccJerk-std()-Y	AVGfBodyAccJerkstdY
AVGfBodyAccJerk-std()-Z	AVGfBodyAccJerkstdZ
AVGfBodyGyro-std()-X	AVGfBodyGyrostdX
AVGfBodyGyro-std()-Y	AVGfBodyGyrostdY
AVGfBodyGyro-std()-Z	AVGfBodyGyrostdZ
AVGfBodyAccMag-std()	AVGfBodyAccMagstd
AVGfBodyBodyAccJerkMag-std()	AVGfBodyBodyAccJerkMagstd
AVGfBodyBodyGyroMag-std()	AVGfBodyBodyGyroMagstd
AVGfBodyBodyGyroJerkMag-std()	AVGfBodyBodyGyroJerkMagstd
